No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
46,8.711469,192.168.100.6,172.217.194.100,TCP,54,54056  >  443 [ACK] Seq=518 Ack=3827 Win=66364 Len=0,,,,,,,,,,,,,,,,
47,8.726474,192.168.100.6,172.217.194.100,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,
48,8.727104,192.168.100.6,172.217.194.100,TLSv1.3,140,Application Data,,,,,,,,,,,,,,,,
49,8.727623,192.168.100.6,172.217.194.100,TLSv1.3,588,Application Data,,,,,,,,,,,,,,,,
50,8.727783,192.168.100.6,172.217.194.100,TLSv1.3,1460,Application Data,,,,,,,,,,,,,,,,
51,8.742993,172.217.194.100,192.168.100.6,TLSv1.3,634,"Application Data, Application Data",,,,,,,,,,,,,,,,
52,8.743227,172.217.194.100,192.168.100.6,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,
53,8.743326,192.168.100.6,172.217.194.100,TCP,54,54056  >  443 [ACK] Seq=2608 Ack=4438 Win=65752 Len=0,,,,,,,,,,,,,,,,
54,8.743661,192.168.100.6,172.217.194.100,TLSv1.3,85,Application Data,,,,,,,,,,,,,,,,
55,8.744382,172.217.194.100,192.168.100.6,TCP,56,443  >  54056 [ACK] Seq=4438 Ack=2608 Win=70656 Len=0,,,,,,,,,,,,,,,,
56,8.76495,172.217.194.100,192.168.100.6,TCP,56,443  >  54056 [ACK] Seq=4438 Ack=2639 Win=70656 Len=0,,,,,,,,,,,,,,,,
57,8.824505,172.217.194.100,192.168.100.6,TLSv1.3,570,Application Data,,,,,,,,,,,,,,,,
58,8.825167,172.217.194.100,192.168.100.6,TLSv1.3,650,Application Data,,,,,,,,,,,,,,,,
59,8.82527,192.168.100.6,172.217.194.100,TCP,54,54056  >  443 [ACK] Seq=2639 Ack=5550 Win=66364 Len=0,,,,,,,,,,,,,,,,
60,8.825631,172.217.194.100,192.168.100.6,TLSv1.3,210,Application Data,,,,,,,,,,,,,,,,
61,8.825639,172.217.194.100,192.168.100.6,TLSv1.3,134,Application Data,,,,,,,,,,,,,,,,
62,8.825725,192.168.100.6,172.217.194.100,TCP,54,54056  >  443 [ACK] Seq=2639 Ack=5786 Win=66128 Len=0,,,,,,,,,,,,,,,,
63,8.828549,172.217.194.100,192.168.100.6,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,
64,8.828994,192.168.100.6,172.217.194.100,TLSv1.3,93,Application Data,,,,,,,,,,,,,,,,
65,8.844325,172.217.194.100,192.168.100.6,TCP,56,443  >  54056 [ACK] Seq=5825 Ack=2678 Win=70656 Len=0,,,,,,,,,,,,,,,,
66,9.956464,192.168.100.6,103.10.124.162,TLSv1.2,112,Application Data,,,,,,,,,,,,,,,,
67,10.026909,103.10.124.162,192.168.100.6,TCP,54,27022  >  53703 [ACK] Seq=1 Ack=59 Win=1024 Len=0,,,,,,,,,,,,,,,,
